Project,Client,Title,Duration
SOS1920-22,,#1 Tener instalado Google Chrome,00:00:39
SOS1920-22,,#10 Realizar la API REST,03:39:51
SOS1920-22,,#11 Realización API Rest Fórmula 1,03:09:00
SOS1920-22,,#12 La API debe implementar búsquedas por todos los campos del recurso: Trabajo con Goorm,04:06:12
SOS1920-22,,#13 Implementar paginación,03:45:34
SOS1920-22,,#14 Extender la colección de POSTMAN desarrollada para el F03 para probar las nuevas funcionalidades de paginación y búsqueda,03:14:25
SOS1920-22,,#15 Trabajo con Visual Studio,03:47:59
SOS1920-22,,#16 Comprobar que todo tiene mensaje de éxito y error,06:39:11
SOS1920-22,,#17 Datos automatizados en Heroku,19:40:12
SOS1920-22,,#18 Realización de gráficas de Highcharts,23:22:08
SOS1920-22,,#19 Integrar o usar al menos 2 APIs,08:21:08
SOS1920-22,,#2 Trabajo con Goorm,00:35:49
SOS1920-22,,#3 Tener correctamente instalada y configurada la extensión de Chrome de Toggl Button,00:27:23
SOS1920-22,,#4 Registrar información en el repositorio común de la asignatura,00:00:09
SOS1920-22,,#5 Implementación servidor web en NodeJS con Goorm,12:06:15
SOS1920-22,,#5 Registrar información en el repositorio común de la asignatura.,00:24:14
SOS1920-22,,#6 Rellenando plantilla,01:09:37
SOS1920-22,,#7 Hacer tarea opcional,20:07:00
SOS1920-22,,#8 Haber leído todas las noticias en piazza previas a las 18:00 horas del día anterior a la sesión de feedback,11:51:05
SOS1920-22,,#9 Haber completado la ficha del trabajo a partir de la plantilla plantilla y asegurándose que se cumplan los siguientes requisitos,03:59:50
,,#2 Hacer el L02,00:02:37
,,Trabajo con Goorm: haciendo la API Rest,00:56:47
,,,00:00:33
